Participant,Practice,Block,Trial,Ratio,Position,Orientation,Answer,CompletionTime,ParticipantAngle,TaskCompletionTime
13,true,0,0,0.18,0,vertical,18,17.62256,89.04967,17629.28
13,false,1,0,0.18,1,vertical,17,10.98666,164.678,12152.97
13,false,1,1,0.58,0,vertical,58,8.980713,96.01344,9482.938
13,false,1,2,0.48,2,vertical,46,7.852539,171.1907,9282.938
13,false,1,3,0.88,2,vertical,88,8.451843,170.606,8454.875
13,false,1,4,0.28,1,vertical,35,6.70929,164.0092,6713
13,false,1,5,0.88,0,vertical,85,8.701874,96.02731,9181.469
13,false,1,6,0.78,0,vertical,76,9.362274,94.86768,9371.531
13,false,1,7,0.38,0,vertical,35,7.032532,95.46204,7036.906
13,false,1,8,0.28,2,vertical,28,10.82654,171.2324,11471.78
13,false,1,9,0.18,0,vertical,19,10.22705,97.08778,10689.38
13,false,1,10,0.18,2,vertical,20,8.204437,171.2979,10277.41
13,false,1,11,0.68,0,vertical,71,10.74011,96.43073,11135.69
13,false,1,12,0.38,1,vertical,36,10.8331,164.1616,11392.97
13,false,1,13,0.28,0,vertical,26,10.24469,96.804,10700.47
13,false,1,14,0.48,0,vertical,45,15.13544,95.66833,15146.31
13,false,1,15,0.58,1,vertical,56,9.15332,164.8216,9651.25
13,false,1,16,0.68,1,vertical,72,7.414093,164.0616,7416.313
13,false,1,17,0.48,1,vertical,43,10.87161,164.0282,10879.75
13,false,1,18,0.78,1,vertical,76,8.594727,164.064,8600.875
13,false,1,19,0.38,2,vertical,34,9.823944,170.8034,9829.219
13,false,1,20,0.88,1,vertical,85,12.15442,164.1415,12163.81
13,false,1,21,0.58,2,vertical,56,8.422821,170.7805,8423.969
13,false,1,22,0.78,2,vertical,71,5.695435,170.7935,5705.938
13,false,1,23,0.68,2,vertical,67,9.769104,170.7912,9773.688
13,true,0,0,0.68,0,horizontal,65,16.17914,81.24728,16698.88
13,false,2,0,0.88,1,horizontal,88,20.86371,163.0599,22473.5
13,false,2,1,0.78,0,horizontal,78,11.95111,82.75435,12354.06
13,false,2,2,0.58,1,horizontal,65,12.00629,164.1392,12621.88
13,false,2,3,0.38,1,horizontal,31,12.46082,162.8716,12465.63
13,false,2,4,0.68,0,horizontal,59,9.903625,82.74985,10287.25
13,false,2,5,0.88,0,horizontal,85,16.71393,81.78672,16721.44
13,false,2,6,0.38,0,horizontal,31,9.11731,82.36477,9125.563
13,false,2,7,0.58,2,horizontal,59,14.05096,170.2174,14855.88
13,false,2,8,0.88,2,horizontal,82,11.4444,169.851,11449
13,false,2,9,0.28,1,horizontal,26,11.19275,162.2539,11192.75
13,false,2,10,0.78,1,horizontal,71,9.676697,162.2559,9684
13,false,2,11,0.78,2,horizontal,72,4.824097,170.0958,4825.188
13,false,2,12,0.28,0,horizontal,25,13.87842,83.00491,14498.75
13,false,2,13,0.68,2,horizontal,61,8.045898,170.1797,8656.375
13,false,2,14,0.48,2,horizontal,41,5.698059,170.1178,5707.688
13,false,2,15,0.48,0,horizontal,45,6.456787,83.45869,6947.688
13,false,2,16,0.18,2,horizontal,12,14.36914,169.3216,14912.31
13,false,2,17,0.58,0,horizontal,53,9.464294,90.977,9739.563
13,false,2,18,0.48,1,horizontal,47,5.753296,162.4645,6333.438
13,false,2,19,0.68,1,horizontal,59,6.465027,162.4297,6467.313
13,false,2,20,0.18,1,horizontal,15,8.196838,162.692,8198.5
13,false,2,21,0.18,0,horizontal,17,6.679443,85.57211,7282.563
13,false,2,22,0.38,2,horizontal,24,18.41412,170.2393,19223.56
13,false,2,23,0.28,2,horizontal,15,9.687805,169.4869,9695.938
