Participant,Practice,Block,Trial,Ratio,Position,Orientation,Answer,CompletionTime,ParticipantAngle,TaskCompletionTime
2,true,0,0,0.48,0,horizontal,40,4.921897,81.44567,4925.676
2,false,1,0,0.28,0,horizontal,30,6.299526,86.47353,6299.852
2,false,1,1,0.58,0,horizontal,60,4.6798,86.78502,4680.271
2,false,1,2,0.88,2,horizontal,100,11.30901,171.6729,11906.99
2,false,1,3,0.18,0,horizontal,15,8.870342,88.82487,9539.109
2,false,1,4,0.88,1,horizontal,90,11.94678,165.0414,12476.45
2,false,1,5,0.58,2,horizontal,50,8.335354,171.5256,8344.125
2,false,1,6,0.18,1,horizontal,10,9.64135,164.9288,9650.445
2,false,1,7,0.78,2,horizontal,90,11.7143,171.5121,11717.39
2,false,1,8,0.48,1,horizontal,40,5.185928,164.8931,5193.844
2,false,1,9,0.48,2,horizontal,40,4.922974,171.4605,4925.938
2,false,1,10,0.68,0,horizontal,70,8.607338,89.50716,9717.695
2,false,1,11,0.28,1,horizontal,25,7.650009,164.9321,8109.344
2,false,1,12,0.68,1,horizontal,75,8.00341,164.812,8008.961
2,false,1,13,0.38,0,horizontal,40,9.87352,88.7906,11258.99
2,false,1,14,0.88,0,horizontal,90,7.903595,83.92199,7907.859
2,false,1,15,0.68,2,horizontal,70,7.355911,171.2595,7796.766
2,false,1,16,0.78,1,horizontal,80,8.344131,164.6072,8354.891
2,false,1,17,0.28,2,horizontal,20,6.523163,171.3871,6523.469
2,false,1,18,0.48,0,horizontal,50,6.058731,88.91769,6813.344
2,false,1,19,0.78,0,horizontal,80,6.39241,85.28364,6400.344
2,false,1,20,0.18,2,horizontal,10,8.786362,171.2373,9382.828
2,false,1,21,0.38,2,horizontal,25,7.458679,171.2771,7461.219
2,false,1,22,0.38,1,horizontal,29,6.470444,164.6096,6478.438
2,false,1,23,0.58,1,horizontal,50,4.706558,164.615,4713.891
2,true,0,0,0.38,1,vertical,40,5.859131,165.4612,5863.688
2,false,2,0,0.28,1,vertical,25,7.442856,165.4568,7450.375
2,false,2,1,0.28,0,vertical,25,7.565155,98.47708,8388.984
2,false,2,2,0.88,1,vertical,80,9.796722,165.4527,10309.33
2,false,2,3,0.28,2,vertical,25,6.96756,171.9815,6970.844
2,false,2,4,0.58,2,vertical,60,5.942856,171.8629,5953.063
2,false,2,5,0.88,2,vertical,85,6.309067,171.8537,6310.672
2,false,2,6,0.18,0,vertical,20,8.993225,101.4638,9684.156
2,false,2,7,0.18,2,vertical,15,8.00592,172.1456,8768.25
2,false,2,8,0.38,2,vertical,30,8.774323,171.9484,8779.5
2,false,2,9,0.78,1,vertical,75,6.039276,166.1503,6042.75
2,false,2,10,0.68,2,vertical,60,5.010101,171.9125,5015.25
2,false,2,11,0.78,0,vertical,80,9.922119,104.2996,10712.03
2,false,2,12,0.48,0,vertical,50,4.132416,99.69659,4132.531
2,false,2,13,0.18,1,vertical,20,8.657715,165.9113,9025.281
2,false,2,14,0.68,1,vertical,70,7.084595,165.8884,7093.563
2,false,2,15,0.48,1,vertical,50,4.831757,165.8694,4836.031
2,false,2,16,0.38,0,vertical,40,4.380066,101.6226,5003.875
2,false,2,17,0.48,2,vertical,50,3.489807,171.8575,3920.844
2,false,2,18,0.38,1,vertical,40,4.669922,165.9094,4680.125
2,false,2,19,0.58,0,vertical,60,6.106079,100.9817,6936.156
2,false,2,20,0.78,2,vertical,80,6.24115,171.6282,6690.625
2,false,2,21,0.88,0,vertical,85,10.13052,100.1383,10644.94
2,false,2,22,0.58,1,vertical,50,2.132477,165.8325,2479.719
2,false,2,23,0.68,0,vertical,65,9.519196,104.3165,10164.53
