Participant,Practice,Block,Trial,Ratio,Position,Orientation,Answer,CompletionTime,ParticipantAngle,TaskCompletionTime
11,true,0,0,0.18,1,vertical,20,17.53809,167.3174,19159.81
11,false,1,0,0.78,0,vertical,75,10.70099,95.97562,11785.13
11,false,1,1,0.48,1,vertical,45,7.799927,167.3378,8454.5
11,false,1,2,0.88,1,vertical,85,9.717712,167.129,9717.813
11,false,1,3,0.48,0,vertical,40,5.761963,95.8368,6322
11,false,1,4,0.28,0,vertical,20,9.366943,96.452,9371.625
11,false,1,5,0.18,0,vertical,15,12.78973,96.63002,12800.63
11,false,1,6,0.48,2,vertical,48,5.43396,172.6905,6299.75
11,false,1,7,0.78,1,vertical,75,8.880981,167.5564,8891.5
11,false,1,8,0.58,0,vertical,55,7.546204,95.96648,8220.75
11,false,1,9,0.28,2,vertical,30,9.10907,172.6707,9740.625
11,false,1,10,0.88,0,vertical,85,10.00977,98.7505,10756.25
11,false,1,11,0.38,0,vertical,35,8.755493,98.22007,8756.813
11,false,1,12,0.18,1,vertical,25,9.319031,167.3158,9874.688
11,false,1,13,0.88,2,vertical,86,10.57452,172.5521,10577.75
11,false,1,14,0.28,1,vertical,35,7.212097,167.2645,7215.313
11,false,1,15,0.68,0,vertical,65,10.12396,97.64055,10723
11,false,1,16,0.78,2,vertical,75,7.187805,172.4444,7797.188
11,false,1,17,0.58,1,vertical,60,6.142273,167.3952,6143.313
11,false,1,18,0.58,2,vertical,56,5.973145,172.557,5975.375
11,false,1,19,0.68,2,vertical,66,9.512146,172.5576,9516.75
11,false,1,20,0.38,2,vertical,35,6.870789,172.5676,6880.875
11,false,1,21,0.38,1,vertical,35,4.494141,167.3279,4501.125
11,false,1,22,0.18,2,vertical,25,11.40997,172.5558,11415.81
11,false,1,23,0.68,1,vertical,70,8.331604,167.373,8332.75
11,true,0,0,0.78,2,horizontal,81,16.08289,172.2009,16084.63
11,false,2,0,0.88,0,horizontal,90,11.32477,86.91249,12208.56
11,false,2,1,0.38,1,horizontal,33,10.01434,166.9563,10689.56
11,false,2,2,0.78,1,horizontal,75,5.476501,166.8512,5484.375
11,false,2,3,0.18,1,horizontal,15,11.76007,166.8801,11761.31
11,false,2,4,0.38,2,horizontal,18,7.343506,172.4626,7350.125
11,false,2,5,0.58,2,horizontal,40,9.311279,172.4816,9312.25
11,false,2,6,0.48,2,horizontal,39,4.048096,172.4888,4059
11,false,2,7,0.68,2,horizontal,46,8.458313,172.4332,8465.75
11,false,2,8,0.78,0,horizontal,85,8.552124,89.44693,9393.813
11,false,2,9,0.58,0,horizontal,70,9.055298,89.12424,9058.813
11,false,2,10,0.18,0,horizontal,15,7.394592,90.04941,7394.813
11,false,2,11,0.28,0,horizontal,30,15.78851,89.23484,15793.88
11,false,2,12,0.18,2,horizontal,13,10.14539,172.5837,10812.44
11,false,2,13,0.48,1,horizontal,41,8.657593,166.6276,8667.75
11,false,2,14,0.28,1,horizontal,20,9.205688,167.1633,9214.813
11,false,2,15,0.48,0,horizontal,50,7.045776,86.96455,7628.938
11,false,2,16,0.78,2,horizontal,90,12.32422,172.3078,12789.5
11,false,2,17,0.38,0,horizontal,40,10.70569,86.54716,11270.38
11,false,2,18,0.28,2,horizontal,25,5.694702,172.148,6344.625
11,false,2,19,0.88,1,horizontal,89,8.05957,166.3508,8064.875
11,false,2,20,0.68,0,horizontal,75,6.753296,86.22328,7316
11,false,2,21,0.88,2,horizontal,95,9.182617,172.1342,9807
11,false,2,22,0.68,1,horizontal,75,7.309937,166.4363,7316.25
11,false,2,23,0.58,1,horizontal,69,6.712158,166.384,6713.375
