Participant,Practice,Block,Trial,Ratio,Position,Orientation,Answer,CompletionTime,ParticipantAngle,TaskCompletionTime
5,true,0,0,0.68,0,vertical,60,8.367407,87.21732,8377.361
5,false,1,0,0.48,0,vertical,45,5.328546,89.79405,5338.918
5,false,1,1,0.88,2,vertical,89,15.73729,171.4823,16497.63
5,false,1,2,0.38,2,vertical,26,5.890636,171.629,5897.797
5,false,1,3,0.88,0,vertical,90,14.91726,96.68935,15615.51
5,false,1,4,0.18,1,vertical,15,7.112095,164.7005,7483.723
5,false,1,5,0.18,2,vertical,18,11.70712,171.3288,11717.24
5,false,1,6,0.18,0,vertical,18,19.10892,100.5083,19335.13
5,false,1,7,0.68,1,vertical,72,31.19742,165.2477,31666.28
5,false,1,8,0.48,1,vertical,44,24.61569,165.5592,24618.27
5,false,1,9,0.28,2,vertical,29,20.74686,171.5505,20753.39
5,false,1,10,0.78,0,vertical,79,12.403,99.93854,12811.7
5,false,1,11,0.68,0,vertical,68,11.66422,99.2057,11672.33
5,false,1,12,0.78,1,vertical,75,9.471695,165.1406,9851.922
5,false,1,13,0.28,0,vertical,29,22.01228,99.47116,22540.59
5,false,1,14,0.48,2,vertical,46,5.81189,171.4026,6232.938
5,false,1,15,0.38,1,vertical,40,6.557556,165.2486,6567.891
5,false,1,16,0.78,2,vertical,69,9.619186,171.5945,9628.297
5,false,1,17,0.58,1,vertical,58,6.240814,165.6621,6243.844
5,false,1,18,0.58,0,vertical,56,8.956818,100.7679,9393.797
5,false,1,19,0.38,0,vertical,42,11.74078,100.8311,11750.63
5,false,1,20,0.28,1,vertical,29,13.18976,166.1496,13560.09
5,false,1,21,0.58,2,vertical,56,4.636261,171.9122,4646.5
5,false,1,22,0.68,2,vertical,62,6.001465,171.9115,6009.656
5,false,1,23,0.88,1,vertical,87,10.38907,166.2016,10398.69
5,true,0,0,0.68,0,horizontal,71,20.74484,89.83305,21166.91
5,false,2,0,0.28,0,horizontal,25,8.187714,89.63079,8198.438
5,false,2,1,0.38,2,horizontal,37,10.21136,170.1524,10779.19
5,false,2,2,0.38,1,horizontal,42,6.366974,162.8351,6377.813
5,false,2,3,0.58,2,horizontal,55,6.825256,169.912,6836.063
5,false,2,4,0.38,0,horizontal,41,13.87958,90.04575,14565.47
5,false,2,5,0.88,1,horizontal,91,9.197693,162.7625,9818.125
5,false,2,6,0.48,1,horizontal,40,5.504517,162.8864,5506.781
5,false,2,7,0.68,2,horizontal,61,5.679138,170.1868,5685.75
5,false,2,8,0.88,0,horizontal,85,14.73721,88.73703,15369.19
5,false,2,9,0.48,2,horizontal,39,11.51172,170.1964,11952.28
5,false,2,10,0.68,1,horizontal,68,8.221344,162.8798,8231.844
5,false,2,11,0.58,1,horizontal,60,5.226563,162.8825,5227.438
5,false,2,12,0.18,2,horizontal,10,12.46982,170.1948,12476.59
5,false,2,13,0.88,2,horizontal,82,9.296417,170.2209,9304.375
5,false,2,14,0.28,1,horizontal,29,15.80182,162.849,15805.41
5,false,2,15,0.58,0,horizontal,60,6.238068,90.089,6880.688
5,false,2,16,0.28,2,horizontal,20,16.21432,170.258,16709.59
5,false,2,17,0.78,1,horizontal,86,11.0174,163.0083,11025.31
5,false,2,18,0.68,0,horizontal,73,8.755066,89.64536,9404.313
5,false,2,19,0.48,0,horizontal,46,5.919739,89.96701,5920.188
5,false,2,20,0.78,2,horizontal,73,14.37469,170.2497,14766.13
5,false,2,21,0.18,0,horizontal,19,13.57153,92.08922,14185.75
5,false,2,22,0.78,0,horizontal,80,10.40417,89.85975,10410.38
5,false,2,23,0.18,1,horizontal,12,12.2041,163.2014,12677.69
