Participant,Practice,Block,Trial,Ratio,Position,Orientation,Answer,CompletionTime,ParticipantAngle,TaskCompletionTime
8,true,0,0,0.68,0,horizontal,66,7.156265,78.26048,7163.344
8,false,1,0,0.38,1,horizontal,24,11.68636,162.984,12074.53
8,false,1,1,0.88,1,horizontal,90,10.31845,163.1506,10320.98
8,false,1,2,0.88,0,horizontal,90,13.52498,81.12917,13906.53
8,false,1,3,0.68,1,horizontal,84,14.68033,162.6282,14788.69
8,false,1,4,0.68,0,horizontal,70,27.81812,87.8904,28204.44
8,false,1,5,0.28,2,horizontal,15,6.677185,170.6352,7092.406
8,false,1,6,0.28,1,horizontal,20,7.248383,163.591,7249
8,false,1,7,0.18,2,horizontal,10,8.180206,169.7188,8187.375
8,false,1,8,0.58,2,horizontal,50,6.906097,170.0883,6914.781
8,false,1,9,0.18,0,horizontal,17,7.190582,91.39679,7628.906
8,false,1,10,0.38,0,horizontal,35,9.335815,89.4079,9345.219
8,false,1,11,0.58,0,horizontal,55,6.715515,87.75753,6724.156
8,false,1,12,0.88,2,horizontal,90,7.919556,170.0493,8415.156
8,false,1,13,0.68,2,horizontal,85,9.647888,170.2555,9650.563
8,false,1,14,0.38,2,horizontal,20,7.543488,171.1506,7551.156
8,false,1,15,0.28,0,horizontal,25,6.870544,61.59001,7327.063
8,false,1,16,0.78,2,horizontal,84,9.265198,170.4942,9550.219
8,false,1,17,0.78,0,horizontal,75,6.590363,92.81656,6925.156
8,false,1,18,0.18,1,horizontal,8,7.855469,163.3315,8165.094
8,false,1,19,0.78,1,horizontal,90,7.260529,163.5892,7260.625
8,false,1,20,0.48,1,horizontal,35,4.037018,163.8638,4043.156
8,false,1,21,0.58,1,horizontal,55,3.634064,162.8086,3641.469
8,false,1,22,0.48,0,horizontal,45,5.308411,92.21287,5729.938
8,false,1,23,0.48,2,horizontal,38,7.337921,170.5856,7696.156
8,true,0,0,0.78,0,vertical,80,10.37186,102.7511,10689.5
8,false,2,0,0.88,0,vertical,90,7.343933,96.36909,7349.844
8,false,2,1,0.28,1,vertical,20,7.105225,163.6705,7439.094
8,false,2,2,0.38,1,vertical,28,11.13062,164.1319,11136.5
8,false,2,3,0.18,1,vertical,14,10.78705,164.1812,10789.75
8,false,2,4,0.78,2,vertical,76,5.437958,170.8776,5439.813
8,false,2,5,0.48,1,vertical,45,2.89859,163.8734,2905.094
8,false,2,6,0.58,1,vertical,52,4.428955,163.9359,4430.344
8,false,2,7,0.58,0,vertical,51,7.96463,97.96783,8291.219
8,false,2,8,0.48,2,vertical,47,3.507141,170.1526,3798.063
8,false,2,9,0.68,1,vertical,70,6.965637,163.1894,6969.625
8,false,2,10,0.48,0,vertical,43,10.51147,96.82117,10801.38
8,false,2,11,0.68,2,vertical,68,6.803772,170.2425,7025.625
8,false,2,12,0.28,0,vertical,22,11.30658,96.85147,11602.81
8,false,2,13,0.38,0,vertical,35,5.29248,98.1912,5297.063
8,false,2,14,0.88,1,vertical,90,7.846619,162.8757,8109.688
8,false,2,15,0.18,2,vertical,17,12.73578,171.2404,12744.69
8,false,2,16,0.88,2,vertical,86,7.374634,170.7244,7383.313
8,false,2,17,0.78,0,vertical,85,9.024292,94.87048,9438.5
8,false,2,18,0.58,2,vertical,50,4.817688,170.705,5104.563
8,false,2,19,0.38,2,vertical,38,5.710938,171.1126,5715.438
8,false,2,20,0.28,2,vertical,26,6.638245,170.9953,6638.438
8,false,2,21,0.78,1,vertical,80,7.510864,164.0109,7517.063
8,false,2,22,0.68,0,vertical,75,7.027588,95.39513,7394.5
8,false,2,23,0.18,0,vertical,20,10.37103,94.95192,10376.75
