Participant,Practice,Block,Trial,Ratio,Position,Orientation,Answer,CompletionTime,ParticipantAngle,TaskCompletionTime
12,true,0,0,0.68,0,horizontal,71,18.39496,82.56723,18399.72
12,false,1,0,0.28,0,horizontal,20,19.47549,82.44596,19480.53
12,false,1,1,0.48,0,horizontal,49,13.59167,84.87141,13593.94
12,false,1,2,0.38,0,horizontal,36,23.58179,82.22198,23590.13
12,false,1,3,0.78,2,horizontal,70,24.61298,169.6022,26964.5
12,false,1,4,0.68,0,horizontal,75,6.561554,75.76474,7193.031
12,false,1,5,0.88,1,horizontal,88,12.40802,163.576,13057.59
12,false,1,6,0.68,1,horizontal,63,8.664703,163.9399,8667.781
12,false,1,7,0.38,2,horizontal,16,15.70306,170.698,15705.03
12,false,1,8,0.18,0,horizontal,14,23.1394,87.21197,23814.16
12,false,1,9,0.58,2,horizontal,30,18.52917,170.1286,19278.63
12,false,1,10,0.88,0,horizontal,90,9.448364,83.13786,9974.75
12,false,1,11,0.88,2,horizontal,90,27.97534,168.9822,28349.19
12,false,1,12,0.18,2,horizontal,10,7.436462,169.6107,7438.938
12,false,1,13,0.48,2,horizontal,22,12.01093,169.7462,12018.94
12,false,1,14,0.78,0,horizontal,77,17.18225,83.55072,17793.5
12,false,1,15,0.48,1,horizontal,36,18.3822,166.5114,19044.38
12,false,1,16,0.58,1,horizontal,40,6.170471,162.0729,6177.188
12,false,1,17,0.18,1,horizontal,10,11.33002,162.5971,11337.31
12,false,1,18,0.28,2,horizontal,10,10.59711,169.793,10600.44
12,false,1,19,0.38,1,horizontal,25,9.200806,162.866,9203.625
12,false,1,20,0.78,1,horizontal,80,10.18378,162.8545,10194.13
12,false,1,21,0.28,1,horizontal,20,9.683289,162.7463,9688.438
12,false,1,22,0.58,0,horizontal,60,11.92932,78.44483,12923.81
12,false,1,23,0.68,2,horizontal,60,28.29291,169.0883,29019.06
12,true,0,0,0.28,1,vertical,33,23.00238,164.2614,23009.56
12,false,2,0,0.18,1,vertical,25,10.88214,165.7819,10890.88
12,false,2,1,0.68,0,vertical,65,8.363342,97.26772,9170
12,false,2,2,0.28,2,vertical,30,9.069702,172.1025,9617.5
12,false,2,3,0.38,0,vertical,35,13.03217,94.43903,13884.75
12,false,2,4,0.18,0,vertical,17,27.42035,96.21477,27421.5
12,false,2,5,0.58,1,vertical,60,11.2052,165.9812,11840.38
12,false,2,6,0.28,1,vertical,35,13.94501,168.4171,13950.94
12,false,2,7,0.68,2,vertical,70,11.17004,171.9449,11180.56
12,false,2,8,0.78,0,vertical,80,8.060852,93.45763,8801.938
12,false,2,9,0.68,1,vertical,75,10.45996,167.1629,10932.44
12,false,2,10,0.78,1,vertical,80,17.56628,165.9353,17572.94
12,false,2,11,0.48,1,vertical,46,6.578491,167.5392,6578.938
12,false,2,12,0.38,1,vertical,40,5.00531,167.2852,5015.688
12,false,2,13,0.48,0,vertical,45,7.592468,96.6039,8209.438
12,false,2,14,0.58,2,vertical,57,6.922119,173.0482,7651.813
12,false,2,15,0.48,2,vertical,42,4.780151,172.1959,4780.313
12,false,2,16,0.28,0,vertical,30,11.34271,92.23496,11884.75
12,false,2,17,0.88,1,vertical,85,14.75684,168.4179,15391.94
12,false,2,18,0.78,2,vertical,80,14.13135,169.8036,14141.13
12,false,2,19,0.88,0,vertical,90,6.792236,92.67906,7383.125
12,false,2,20,0.18,2,vertical,10,6.832642,171.7219,7651.5
12,false,2,21,0.58,0,vertical,55,25.60327,87.17522,26159.56
12,false,2,22,0.38,2,vertical,40,15.63379,172.226,16274.88
12,false,2,23,0.88,2,vertical,90,7.852539,171.2314,7863.313
