Participant,Practice,Block,Trial,Ratio,Position,Orientation,Answer,CompletionTime,ParticipantAngle,TaskCompletionTime
6,true,0,0,0.78,2,horizontal,92,16.9386,170.5492,19200.94
6,false,1,0,0.78,1,horizontal,85,14.31393,163.2298,14319.77
6,false,1,1,0.28,0,horizontal,21,20.86824,79.17139,22943.2
6,false,1,2,0.68,0,horizontal,71,16.71802,80.0777,16727.55
6,false,1,3,0.48,2,horizontal,32,37.23852,170.6228,38909.4
6,false,1,4,0.78,0,horizontal,77,38.46721,78.18078,39284.23
6,false,1,5,0.68,1,horizontal,60,11.63104,163.7808,12708.28
6,false,1,6,0.88,2,horizontal,91,26.42902,170.6199,26431.31
6,false,1,7,0.18,0,horizontal,15,25.39706,80.90291,26234.7
6,false,1,8,0.38,2,horizontal,15,13.45256,170.2354,14133.3
6,false,1,9,0.58,0,horizontal,59,21.368,82.25328,22015.42
6,false,1,10,0.68,2,horizontal,65,19.4509,170.1079,19982.92
6,false,1,11,0.48,1,horizontal,45,11.86911,162.6168,11873.78
6,false,1,12,0.58,2,horizontal,50,9.865631,169.938,9874.281
6,false,1,13,0.28,1,horizontal,20,11.42563,162.4839,11426.66
6,false,1,14,0.88,0,horizontal,90,17.26511,80.98847,18106.16
6,false,1,15,0.48,0,horizontal,45,17.28946,82.70613,17291
6,false,1,16,0.28,2,horizontal,15,18.15543,170.0595,18854.88
6,false,1,17,0.58,1,horizontal,60,10.52185,162.5829,10521.97
6,false,1,18,0.38,1,horizontal,40,11.40433,162.5636,11404.69
6,false,1,19,0.78,2,horizontal,73,9.699829,169.9832,9706.594
6,false,1,20,0.38,0,horizontal,40,8.593384,85.6901,9404.719
6,false,1,21,0.18,1,horizontal,10,15.5903,162.2673,16241.34
6,false,1,22,0.18,2,horizontal,8,13.36063,169.8574,13370.31
6,false,1,23,0.88,1,horizontal,89,11.69977,162.1171,11705.81
6,true,0,0,0.38,2,vertical,40,12.32022,170.158,12320.47
6,false,2,0,0.28,1,vertical,28,15.45703,163.2367,15459
6,false,2,1,0.78,2,vertical,80,13.40536,170.2407,13415
6,false,2,2,0.88,2,vertical,90,10.3486,170.2462,10354.38
6,false,2,3,0.68,0,vertical,60,10.57727,91.61074,11728.69
6,false,2,4,0.38,0,vertical,40,16.67609,91.92223,16676.56
6,false,2,5,0.38,1,vertical,40,11.5473,163.212,12082.31
6,false,2,6,0.18,2,vertical,15,17.55096,170.2735,17559.25
6,false,2,7,0.68,2,vertical,70,15.13037,170.2523,15134.94
6,false,2,8,0.58,1,vertical,55,17.15216,163.0577,17155.13
6,false,2,9,0.78,1,vertical,70,9.346863,162.8784,9350.313
6,false,2,10,0.58,2,vertical,55,9.642029,170.0124,9650.688
6,false,2,11,0.18,1,vertical,20,17.78412,162.8846,17786.56
6,false,2,12,0.78,0,vertical,70,20.36243,93.17959,21278.25
6,false,2,13,0.28,0,vertical,20,12.18219,91.94173,12186.44
6,false,2,14,0.48,2,vertical,40,13.80249,170.1096,14387
6,false,2,15,0.58,0,vertical,50,6.294495,96.02287,6869.75
6,false,2,16,0.28,2,vertical,30,18.67273,170.1144,19167.19
6,false,2,17,0.88,0,vertical,90,10.38556,93.10869,10912.75
6,false,2,18,0.18,0,vertical,20,10.46307,92.77628,10466.44
6,false,2,19,0.48,0,vertical,45,11.56854,93.02255,11572.13
6,false,2,20,0.48,1,vertical,50,13.18469,162.3981,13682.81
6,false,2,21,0.68,1,vertical,70,14.56104,162.3987,14565.25
6,false,2,22,0.38,2,vertical,40,6.696533,169.7608,6702.125
6,false,2,23,0.88,1,vertical,90,9.111206,162.4438,9114.688
