Participant,Practice,Block,Trial,Ratio,Position,Orientation,Answer,CompletionTime,ParticipantAngle,TaskCompletionTime
7,true,0,0,0.78,0,vertical,83,9.792545,93.62655,9799.953
7,false,1,0,0.28,0,vertical,28,8.85009,95.68801,8857.543
7,false,1,1,0.38,0,vertical,35,7.780033,95.52366,7785.498
7,false,1,2,0.28,1,vertical,26,15.3203,166.1853,16140.27
7,false,1,3,0.78,1,vertical,79,6.767445,166.2783,6769.363
7,false,1,4,0.88,0,vertical,91,6.79401,96.92006,7248.785
7,false,1,5,0.18,2,vertical,14,9.36792,171.6597,9829.461
7,false,1,6,0.58,0,vertical,56,8.336235,95.67275,8757.211
7,false,1,7,0.88,1,vertical,90,8.04718,165.811,8433.172
7,false,1,8,0.48,2,vertical,40,7.352623,171.495,7361
7,false,1,9,0.58,2,vertical,54,8.720657,171.5306,8723.586
7,false,1,10,0.38,1,vertical,35,5.21447,165.4798,5216.031
7,false,1,11,0.48,1,vertical,50,6.761322,165.4829,6769.07
7,false,1,12,0.28,2,vertical,27,9.623512,171.6117,9628.867
7,false,1,13,0.88,2,vertical,83,9.641174,171.847,9651
7,false,1,14,0.48,0,vertical,46,7.124512,97.19141,7561.109
7,false,1,15,0.78,0,vertical,77,8.603455,96.79917,8612.281
7,false,1,16,0.78,2,vertical,70,7.746002,171.8592,8153.656
7,false,1,17,0.18,1,vertical,20,8.613754,165.8487,8623.297
7,false,1,18,0.38,2,vertical,43,6.604233,171.7834,6612.703
7,false,1,19,0.68,2,vertical,62,5.43251,171.8164,5439.391
7,false,1,20,0.18,0,vertical,17,16.76083,99.12621,17995
7,false,1,21,0.58,1,vertical,61,3.843048,170.0099,5115.531
7,false,1,22,0.68,1,vertical,65,5.23732,169.5232,5238.734
7,false,1,23,0.68,0,vertical,75,6.30687,96.44065,6958.438
7,true,0,0,0.38,1,horizontal,45,7.135345,169.0461,7461.797
7,false,2,0,0.78,2,horizontal,85,9.876495,173.8817,9885.594
7,false,2,1,0.68,1,horizontal,73,8.699768,169.7988,8701.063
7,false,2,2,0.28,1,horizontal,24,5.316574,169.4016,5316.797
7,false,2,3,0.88,0,horizontal,90,8.900421,67.42731,9617.172
7,false,2,4,0.48,2,horizontal,45,4.795868,173.7996,5484.359
7,false,2,5,0.38,1,horizontal,32,4.9664,168.6387,4970.5
7,false,2,6,0.38,0,horizontal,46,9.106323,70.7504,9651.031
7,false,2,7,0.58,2,horizontal,47,5.983765,173.8725,6266.344
7,false,2,8,0.28,0,horizontal,25,10.67505,73.48779,11046.84
7,false,2,9,0.28,2,horizontal,20,6.824188,173.8649,7204.719
7,false,2,10,0.68,2,horizontal,75,8.222931,173.717,8232.031
7,false,2,11,0.58,1,horizontal,63,5.295563,168.8902,5305.969
7,false,2,12,0.58,0,horizontal,67,4.856689,67.55681,5383.375
7,false,2,13,0.48,1,horizontal,52,4.684082,169.1008,5194.063
7,false,2,14,0.18,1,horizontal,10,7.333832,168.8557,7338.625
7,false,2,15,0.68,0,horizontal,70,5.097107,69.13596,5663.313
7,false,2,16,0.88,1,horizontal,90,6.970245,168.7334,7362
7,false,2,17,0.78,0,horizontal,80,12.8291,60.87072,13458.84
7,false,2,18,0.88,2,horizontal,95,7.984772,173.868,8544.563
7,false,2,19,0.48,0,horizontal,44,8.220459,67.7278,8935.688
7,false,2,20,0.78,1,horizontal,86,7.819244,168.5895,8165.469
7,false,2,21,0.38,2,horizontal,30,5.403137,173.727,5406.094
7,false,2,22,0.18,2,horizontal,10,11.80969,174.1306,11817.66
7,false,2,23,0.18,0,horizontal,15,8.769348,94.15327,9304.125
