Participant,Practice,Block,Trial,Ratio,Position,Orientation,Answer,CompletionTime,ParticipantAngle,TaskCompletionTime
9,true,0,0,0.28,2,vertical,25,15.6906,170.8757,16658.8
9,false,1,0,0.68,1,vertical,75,6.759804,164.0361,6769.195
9,false,1,1,0.48,2,vertical,50,2.842117,170.4173,2848.984
9,false,1,2,0.78,1,vertical,75,10.93208,163.713,10934.42
9,false,1,3,0.88,1,vertical,85,8.800797,163.7935,8802.031
9,false,1,4,0.58,0,vertical,50,10.07886,97.67107,10644.73
9,false,1,5,0.38,1,vertical,40,8.469986,165.5352,8868.906
9,false,1,6,0.88,2,vertical,85,7.632172,171.487,7639.969
9,false,1,7,0.28,0,vertical,25,8.657913,96.54179,9103.516
9,false,1,8,0.58,2,vertical,50,3.131821,170.7544,3540.578
9,false,1,9,0.18,0,vertical,12,23.34592,95.08356,23825.2
9,false,1,10,0.18,1,vertical,15,9.017197,164.0896,9260.172
9,false,1,11,0.38,0,vertical,35,10.94522,94.8823,11694.7
9,false,1,12,0.18,2,vertical,12,12.58083,170.4078,13124.47
9,false,1,13,0.48,0,vertical,50,2.496399,92.12599,2948.922
9,false,1,14,0.28,1,vertical,25,5.460373,163.7562,5841.75
9,false,1,15,0.78,0,vertical,75,9.056061,97.0178,9662.359
9,false,1,16,0.68,0,vertical,70,8.455933,101.4385,8466.531
9,false,1,17,0.38,2,vertical,40,5.151672,170.1457,5551.281
9,false,1,18,0.68,2,vertical,70,7.178772,170.1923,7182.688
9,false,1,19,0.78,2,vertical,80,7.518188,170.2516,7528.281
9,false,1,20,0.88,0,vertical,80,11.50284,97.51449,11918
9,false,1,21,0.48,1,vertical,50,2.986969,163.7245,3339.688
9,false,1,22,0.58,1,vertical,55,7.426086,163.6298,7427.969
9,false,1,23,0.28,2,vertical,25,4.527618,170.4413,4534.906
9,true,0,0,0.68,1,horizontal,75,5.635162,162.7471,5640.875
9,false,2,0,0.48,0,horizontal,50,3.165649,88.5953,3686.031
9,false,2,1,0.58,1,horizontal,50,3.64267,162.0691,4032.594
9,false,2,2,0.18,0,horizontal,20,12.93607,87.77548,13515.63
9,false,2,3,0.28,1,horizontal,15,7.331329,162.8833,7684.125
9,false,2,4,0.18,2,horizontal,10,7.906464,170.2347,7908.469
9,false,2,5,0.28,0,horizontal,25,5.605255,87.74254,6087.688
9,false,2,6,0.18,1,horizontal,15,5.715118,163.0937,6109.875
9,false,2,7,0.38,0,horizontal,40,9.255249,87.54835,9740.094
9,false,2,8,0.48,2,horizontal,46,3.587128,170.0288,3943
9,false,2,9,0.58,2,horizontal,55,3.628326,170.0826,3630.094
9,false,2,10,0.38,2,horizontal,20,6.484558,170.018,6489.563
9,false,2,11,0.88,0,horizontal,85,7.795746,83.26258,8466.75
9,false,2,12,0.58,0,horizontal,60,5.893372,85.0878,5897.625
9,false,2,13,0.38,1,horizontal,40,3.190582,163.0949,3641.656
9,false,2,14,0.68,0,horizontal,65,5.55603,86.28724,6143.25
9,false,2,15,0.48,1,horizontal,50,2.359222,162.5779,2703.188
9,false,2,16,0.78,2,horizontal,85,6.370453,169.9832,6377.875
9,false,2,17,0.68,2,horizontal,90,7.945862,170.0572,7953.188
9,false,2,18,0.78,0,horizontal,80,6.269989,86.03953,6735.25
9,false,2,19,0.28,2,horizontal,10,6.159882,170.1672,6578.781
9,false,2,20,0.68,1,horizontal,80,4.953094,162.7154,4959.875
9,false,2,21,0.88,2,horizontal,90,6.699707,169.8106,6702.188
9,false,2,22,0.78,1,horizontal,90,6.31012,162.5059,6310.375
9,false,2,23,0.88,1,horizontal,91,7.348877,162.5374,7349.906
