Participant,Practice,Block,Trial,Ratio,Position,Orientation,Answer,CompletionTime,ParticipantAngle,TaskCompletionTime
10,true,0,0,0.48,1,horizontal,36,5.112991,163.7861,6088.047
10,false,1,0,0.68,0,horizontal,75,10.41507,78.4019,10835.42
10,false,1,1,0.88,1,horizontal,95,8.688156,164.4463,9073.078
10,false,1,2,0.78,1,horizontal,80,6.042221,164.2075,6042.953
10,false,1,3,0.28,1,horizontal,15,10.69844,164.3308,10700.66
10,false,1,4,0.68,2,horizontal,61,8.040588,171.1302,8042.141
10,false,1,5,0.58,0,horizontal,59,11.99512,78.8942,12443.42
10,false,1,6,0.48,0,horizontal,45,11.03079,80.01682,11035.69
10,false,1,7,0.28,0,horizontal,21,10.95491,79.89247,10957.45
10,false,1,8,0.58,1,horizontal,61,3.028152,164.4409,3306.578
10,false,1,9,0.48,2,horizontal,32,3.714279,171.1855,3719.453
10,false,1,10,0.28,2,horizontal,12,7.788513,170.9367,7796.469
10,false,1,11,0.78,0,horizontal,85,9.999115,79.23763,10488.36
10,false,1,12,0.38,1,horizontal,25,9.247101,164.6909,9692.438
10,false,1,13,0.18,0,horizontal,17,8.284851,80.69904,8704.406
10,false,1,14,0.18,2,horizontal,13,5.827423,171.3461,6009.25
10,false,1,15,0.88,2,horizontal,90,7.422211,171.2472,7428.125
10,false,1,16,0.88,0,horizontal,91,7.732697,79.78429,8343.813
10,false,1,17,0.38,2,horizontal,23,7.485779,171.2321,7930.875
10,false,1,18,0.48,1,horizontal,43,6.12561,164.3419,6128.719
10,false,1,19,0.68,1,horizontal,73,5.044708,164.3234,5052.406
10,false,1,20,0.38,0,horizontal,36,7.326324,79.19803,7803.844
10,false,1,21,0.58,2,horizontal,50,10.02759,171.0832,10034.63
10,false,1,22,0.78,2,horizontal,77,4.472748,171.0887,4478.469
10,false,1,23,0.18,1,horizontal,9,10.51736,164.1551,10522.41
10,true,0,0,0.68,1,vertical,71,9.590454,165.0364,9595.313
10,false,2,0,0.58,1,vertical,59,3.809692,165.1077,3819.219
10,false,2,1,0.28,2,vertical,29,6.264862,171.452,6266.313
10,false,2,2,0.18,0,vertical,15,10.52359,89.65522,11114.25
10,false,2,3,0.68,0,vertical,69,10.38831,91.96449,10853.63
10,false,2,4,0.38,1,vertical,41,6.046478,165.4665,6213.719
10,false,2,5,0.28,0,vertical,26,11.21906,92.51801,11705.91
10,false,2,6,0.48,2,vertical,46,3.87326,171.3182,3998.656
10,false,2,7,0.38,2,vertical,39,7.066101,171.3157,7070.625
10,false,2,8,0.48,1,vertical,48,3.235382,165.1023,3235.938
10,false,2,9,0.48,0,vertical,46,4.048279,93.05083,4546.219
10,false,2,10,0.68,1,vertical,68,9.917084,165.4203,10368.81
10,false,2,11,0.88,2,vertical,89,8.461792,171.6143,8466.969
10,false,2,12,0.38,0,vertical,39,6.475586,93.44923,6891.563
10,false,2,13,0.18,1,vertical,18,7.069916,165.5366,7361
10,false,2,14,0.78,2,vertical,79,5.308929,171.7284,5316.75
10,false,2,15,0.58,2,vertical,57,3.516846,171.726,3519.063
10,false,2,16,0.88,0,vertical,91,14.88568,93.22472,15246.59
10,false,2,17,0.18,2,vertical,18,7.781555,171.547,7784.781
10,false,2,18,0.58,0,vertical,59,3.803772,93.30982,4211.094
10,false,2,19,0.68,2,vertical,70,6.461792,171.5764,6724.688
10,false,2,20,0.28,1,vertical,28,6.507141,165.296,6512.031
10,false,2,21,0.78,1,vertical,73,4.173645,165.2458,4177.594
10,false,2,22,0.78,0,vertical,73,3.605225,91.83602,3987.156
10,false,2,23,0.88,1,vertical,89,8.809082,165.4848,9159.375
